"","date","lat","lon","av_wind_dir","av_wind_spd","av_gust","av_air_pressure","av_air_temp","av_ss_temp"
"1",2016-01-01,34.7169990539551,-76.6709976196289,91.2447257383966,3.74092826901106,5.25358649849389,1017.45147576312,14.6383966735647,17.9704642959788
"2",2016-01-02,34.7169990539551,-76.6709976196289,316.262711864407,4.15338982243912,6.18347457303839,1019.97838838222,9.17033900446811,16.4508473469039
"3",2016-01-03,34.7169990539551,-76.6709976196289,297.773504273504,1.85854700335071,3.18803418497754,1016.09145309579,8.7162393076807,14.8141027393504
"4",2016-01-04,34.7169990539551,-76.6709976196289,254.430379746835,5.55654007523372,7.84514770024939,1013.55611680429,7.24514770910207,13.5189873176285
"5",2016-01-05,34.7169990539551,-76.6709976196289,124.189873417722,7.68945148323156,10.678059082997,1029.32657800345,0.337552743213338,10.8687763898181
"6",2016-01-06,34.7169990539551,-76.6709976196289,77.3291139240506,7.18565398932509,9.71729956799922,1030.52615704114,4.2261603381249,8.5742616472365
"7",2016-01-07,34.7169990539551,-76.6709976196289,39.0775862068966,6.33362069623224,8.64698279109494,1020.93318886592,10.3836206937658,8.84827579917579
"8",2016-01-08,34.7169990539551,-76.6709976196289,42.931330472103,5.08583691191776,7.74120172001262,1015.76480691934,11.2403433394534,10.2643776308313
"9",2016-01-09,34.7169990539551,-76.6709976196289,25.9873417721519,3.74008438657608,5.97974683463825,1014.63079962751,12.1843881969211,10.7578059289023
"10",2016-01-10,34.7169990539551,-76.6709976196289,193.995780590717,4.29409281940903,6.6405063309247,1005.22658232999,16.6864978774187,12.0337552702377
"11",2016-01-11,34.7169990539551,-76.6709976196289,295.487288135593,3.5991525432821,5.97118644391076,1015.60593323788,7.59449152017044,12.1368644439568
"12",2016-01-12,34.7169990539551,-76.6709976196289,248.48085106383,2.85404255069951,5.09914894256186,1018.05744550989,7.50000000811637,11.2953191676038
"13",2016-01-13,34.7169990539551,-76.6709976196289,265.6875,3.58526786124068,6.01160714456013,1018.24821417672,6.51696428869452,10.3924107168402
"14",2016-01-14,34.7169990539551,-76.6709976196289,259.748936170213,1.91872340361489,3.54000000344946,1019.14723264004,8.37617022737544,9.99957451516009
"15",2016-01-15,34.7169990539551,-76.6709976196289,150.135371179039,2.70131003407672,4.03886464433379,1011.64410427044,11.815283866949,10.2231440814822
"16",2016-01-16,34.7169990539551,-76.6709976196289,249,3.52700421327277,6.84303797951227,1002.4084374794,12.6544303531888,10.8666666368895
"17",2016-01-17,34.7169990539551,-76.6709976196289,185.797413793103,4.50646551913614,6.4581896505993,1005.78620805411,8.83318965804988,11.1616379187025
"18",2016-01-18,34.7169990539551,-76.6709976196289,316.118644067797,3.80423729096429,6.17415253691754,1014.75423780538,3.26694915708849,9.57330507747197
"19",2016-01-19,34.7169990539551,-76.6709976196289,331.65811965812,5.35811966402918,8.15042734146118,1024.64999780899,-1.99059829447005,7.81239316606114
"20",2016-01-20,34.7169990539551,-76.6709976196289,235.192307692308,3.16880341921734,4.80128206376337,1026.51325088892,-0.777777778223539,6.39316239112463
"21",2016-01-21,34.7169990539551,-76.6709976196289,205.515283842795,2.85807859637331,4.40917030744678,1022.29301485953,3.27772925097869,6.53537119528092
"22",2016-01-22,34.7169990539551,-76.6709976196289,41.4449339207048,4.351541845809,6.35814980105682,1018.06255350659,3.31850220755333,7.09559470861494
"23",2016-01-23,34.7169990539551,-76.6709976196289,282,5.90786026737055,9.35545851361804,996.244105176634,3.91572053541783,7.82227078275389
"24",2016-01-24,34.7169990539551,-76.6709976196289,329.25,5.31772728684274,8.51045456013896,1012.11090975675,2.82954546335069,6.25363636883822
"25",2016-01-25,34.7169990539551,-76.6709976196289,167.266055045872,1.33211009269324,1.79954128685074,1024.52156164887,5.18715596646754,6.97981647613945
"26",2016-01-26,34.7169990539551,-76.6709976196289,182.609865470852,1.8452914753436,2.491479824744,1023.743051298,11.3690582604686,7.59999999871703
"27",2016-01-27,34.7169990539551,-76.6709976196289,145.075892857143,2.36294642433391,3.44419643961425,1018.14955275399,11.8062500123467,8.54107152138438
"28",2016-01-28,34.7169990539551,-76.6709976196289,46.3289473684211,5.77982456119437,7.89429826485483,1013.40833295856,7.30219298287442,8.50307012440866
"29",2016-01-29,34.7169990539551,-76.6709976196289,260.161572052402,3.55938865211853,5.72707424101351,1005.47510965006,8.32314411521479,8.4515284409169
"30",2016-01-30,34.7169990539551,-76.6709976196289,139.200854700855,3.15427348998367,4.39615383769712,1018.96367443117,7.30470086366702,8.56367517536522
"31",2016-01-31,34.7169990539551,-76.6709976196289,203.935897435897,2.09529914499985,3.14358973694153,1019.23247873681,12.171367486318,8.83376066908877
"32",2016-02-01,34.7169990539551,-76.6709976196289,228.025862068966,2.97974137961864,4.76551723480225,1015.42586070094,14.5758620706098,9.71939649253056
"33",2016-02-02,34.7169990539551,-76.6709976196289,111.742358078603,3.94978164637453,5.97030568279033,1019.15633129137,12.534497806599,10.5179038276839
"34",2016-02-03,34.7169990539551,-76.6709976196289,139.224770642202,4.87798165659839,6.26330277952579,1019.58348685448,14.4724770510962,10.8733945111616
"35",2016-02-04,34.7169990539551,-76.6709976196289,194.274774774775,4.49279278516769,5.97747747747748,1015.88513431034,16.0585585929252,11.8076576499252
"36",2016-02-05,34.7169990539551,-76.6709976196289,242.3961352657,5.96763285742578,8.62077295665004,1017.78454294988,9.12801931676082,12.2830917201756
"37",2016-02-06,34.7169990539551,-76.6709976196289,35.2380952380952,3.7779220574862,5.1264069199046,1027.63203463203,5.40562770686624,10.4753246802788
